ReportingArea,MMWRYear,MMWRWeek,7dayavg_retail_rec,7dayavg_grocery,7dayavg_parks,7dayavg_transit,7dayavg_work,7dayavg_res
Texas,2020,42,42,-15,-8,4,-22,-25
Texas,2020,43,43,-15,-7,-10,-24,-25
Texas,2020,44,44,-15,-9,2,-24,-24
Texas,2020,45,45,-16,-8,-6,-25,-25
Texas,2020,46,46,-17,-8,-11,-23,-24
Texas,2020,47,47,-22,-8,-21,-27,-40
Texas,2020,48,48,-16,-9,-21,-26,-23
Texas,2020,49,49,-16,-8,-18,-28,-23
Texas,2020,50,50,-13,-5,-24,-22,-24
Texas,2020,51,51,-20,-6,-13,-26,-42
Texas,2020,52,-19,-9,-25,-29,-40,14
Utah,2020,7,7,5,6,20,0,-3
Utah,2020,8,8,8,11,31,7,3
Utah,2020,9,9,7,13,34,6,2
Utah,2020,10,10,3,24,34,-2,-1
Utah,2020,11,11,-25,14,34,-26,-28
Utah,2020,12,12,-37,-7,13,-40,-38
Utah,2020,13,13,-40,-12,18,-44,-44
Utah,2020,14,14,-38,-9,28,-46,-46
Utah,2020,15,15,-38,-15,14,-45,-43
Utah,2020,16,16,-31,-10,50,-40,-41
Utah,2020,17,17,-26,-5,69,-36,-40
Utah,2020,18,18,-19,3,80,-32,-36
Utah,2020,19,19,-19,4,78,-32,-35
Utah,2020,20,20,-14,7,90,-29,-33
Utah,2020,21,21,-12,9,140,-28,-34
Utah,2020,22,22,-11,9,109,-27,-29
Utah,2020,23,23,-12,6,113,-25,-28
Utah,2020,24,24,-9,9,143,-22,-28
Utah,2020,25,25,-11,7,146,-21,-29
Utah,2020,26,26,-12,11,138,-23,-36
Utah,2020,27,27,-11,7,137,-21,-31
Utah,2020,28,28,-11,7,134,-21,-30
Utah,2020,29,29,-12,7,133,-23,-33
Utah,2020,30,30,-10,6,128,-21,-31
Utah,2020,31,31,-9,7,129,-20,-30
Utah,2020,32,32,-10,6,129,-20,-30
Utah,2020,33,33,-10,4,110,-21,-30
Utah,2020,34,34,-10,4,107,-22,-28
Utah,2020,35,35,-8,8,136,-19,-30
Utah,2020,36,36,-9,3,111,-20,-33
Utah,2020,37,37,-9,2,115,-20,-25
Utah,2020,38,38,-10,2,105,-21,-25
Utah,2020,39,39,-11,3,91,-20,-25
Utah,2020,40,40,-11,1,90,-21,-25
Utah,2020,41,41,-10,1,82,-20,-27
Utah,2020,42,42,-12,-1,55,-23,-26
Utah,2020,43,43,-12,0,39,-26,-24
Utah,2020,44,44,-15,-5,23,-29,-25
Utah,2020,45,45,-17,-7,-4,-33,-27
Utah,2020,46,46,-17,-5,11,-31,-26
Utah,2020,47,47,-21,-5,10,-34,-40
Utah,2020,48,48,-15,-5,4,-34,-24
Utah,2020,49,49,-15,-6,-6,-36,-24
Utah,2020,50,50,-11,-1,-4,-29,-24
Utah,2020,51,51,-17,-3,9,-35,-42
Utah,2020,52,-15,-7,3,-35,-41,13
Vermont,2020,7,7,9,3,22,13,-3
Vermont,2020,8,8,5,2,11,7,-4
Vermont,2020,9,9,9,6,17,10,0
Vermont,2020,10,10,1,11,16,-1,-1
Vermont,2020,11,11,-29,-1,10,-33,-24
Vermont,2020,12,12,-48,-24,-1,-48,-43
Vermont,2020,13,13,-53,-29,-9,-55,-49
Vermont,2020,14,14,-51,-25,3,-57,-50
Vermont,2020,15,15,-51,-29,5,-56,-49
Vermont,2020,16,16,-44,-22,33,-51,-47
Vermont,2020,17,17,-40,-19,30,-49,-44
Vermont,2020,18,18,-34,-10,49,-46,-41
Vermont,2020,19,19,-34,-13,57,-42,-39
Vermont,2020,20,20,-22,-5,119,-35,-36
Vermont,2020,21,21,-21,-5,119,-33,-36
Vermont,2020,22,22,-19,-5,83,-33,-30
Vermont,2020,23,23,-15,-2,119,-28,-28
Vermont,2020,24,24,-11,3,178,-29,-27
Vermont,2020,25,25,-11,2,170,-29,-27
Vermont,2020,26,26,-11,6,165,-31,-34
Vermont,2020,27,27,-8,4,192,-27,-29
Vermont,2020,28,28,-9,3,181,-27,-27
Vermont,2020,29,29,-8,4,207,-26,-28
Vermont,2020,30,30,-7,5,203,-23,-28
Vermont,2020,31,31,-7,4,179,-21,-28
Vermont,2020,32,32,-6,5,215,-18,-28
Vermont,2020,33,33,-7,4,187,-19,-27
Vermont,2020,34,34,-7,2,155,-13,-26
Vermont,2020,35,35,-2,5,NA,NA,-26
Vermont,2020,36,36,-7,2,139,-23,-30
Vermont,2020,37,37,-6,2,130,-24,-23
Vermont,2020,38,38,-6,2,138,-21,-22
Vermont,2020,39,39,-4,4,111,-21,-22
Vermont,2020,40,40,-2,5,135,-20,-22
Vermont,2020,41,41,-6,1,90,-27,-23
Vermont,2020,42,42,-12,-4,50,-33,-21
Vermont,2020,43,43,-14,-5,23,-38,-22
Vermont,2020,44,44,-15,-8,26,-38,-22
Vermont,2020,45,45,-18,-9,20,-44,-24
Vermont,2020,46,46,-22,-9,5,-44,-24
Vermont,2020,47,47,-27,-13,5,-49,-37
Vermont,2020,48,48,-21,-10,-6,-46,-24
Vermont,2020,49,49,-21,-10,-3,-46,-24
Vermont,2020,50,50,-18,-7,-10,-42,-24
Vermont,2020,51,51,-22,-8,-3,-45,-38
Vermont,2020,52,-22,-12,4,-44,-38,14
Virginia,2020,7,7,2,1,12,1,-3
Virginia,2020,8,8,5,2,11,6,2
Virginia,2020,9,9,8,6,25,7,1
Virginia,2020,10,10,3,13,44,-2,-2
Virginia,2020,11,11,-23,2,26,-31,-27
Virginia,2020,12,12,-39,-15,14,-48,-40
Virginia,2020,13,13,-41,-16,11,-52,-44
Virginia,2020,14,14,-41,-15,14,-54,-47
Virginia,2020,15,15,-42,-19,4,-53,-46
Virginia,2020,16,16,-38,-16,20,-50,-44
Virginia,2020,17,17,-35,-12,26,-46,-43
Virginia,2020,18,18,-32,-7,15,-46,-41
Virginia,2020,19,19,-30,-7,53,-41,-39
Virginia,2020,20,20,-28,-6,46,-40,-37
Virginia,2020,21,21,-26,-6,67,-38,-37
Virginia,2020,22,22,-20,-1,75,-34,-31
Virginia,2020,23,23,-17,-1,92,-31,-30
Virginia,2020,24,24,-17,-1,82,-31,-30
Virginia,2020,25,25,-15,0,105,-27,-30
Virginia,2020,26,26,-15,3,107,-28,-36
Virginia,2020,27,27,-14,-1,96,-28,-31
Virginia,2020,28,28,-13,1,120,-28,-30
Virginia,2020,29,29,-14,-1,102,-29,-31
Virginia,2020,30,30,-13,0,103,-28,-31
Virginia,2020,31,31,-13,-2,95,-29,-32
Virginia,2020,32,32,-14,-3,92,-29,-31
Virginia,2020,33,33,-14,-2,75,-29,-30
Virginia,2020,34,34,-15,-4,71,-29,-30
Virginia,2020,35,35,-12,-1,88,-27,-30
Virginia,2020,36,36,-15,-4,83,-32,-33
Virginia,2020,37,37,-13,-3,81,-31,-27
Virginia,2020,38,38,-13,-3,73,-30,-27
Virginia,2020,39,39,-11,-1,72,-27,-26
Virginia,2020,40,40,-12,-2,74,-28,-26
Virginia,2020,41,41,-13,-3,60,-29,-27
Virginia,2020,42,42,-14,-4,58,-31,-26
Virginia,2020,43,43,-16,-4,26,-33,-26
Virginia,2020,44,44,-14,-5,49,-33,-26
Virginia,2020,45,45,-18,-8,20,-37,-28
Virginia,2020,46,46,-19,-5,18,-35,-25
Virginia,2020,47,47,-23,-6,26,-38,-38
Virginia,2020,48,48,-19,-7,-2,-39,-27
Virginia,2020,49,49,-19,-6,10,-39,-26
Virginia,2020,50,50,-19,-6,-15,-38,-28
Virginia,2020,51,51,-24,-6,-5,-41,-42
Virginia,2020,52,-22,-9,-2,-41,-40,14
Washington,2020,7,7,6,1,44,5,-6
Washington,2020,8,8,7,3,26,6,2
Washington,2020,9,9,5,7,22,-2,-2
Washington,2020,10,10,-3,9,29,-16,-9
Washington,2020,11,11,-28,4,60,-35,-30
Washington,2020,12,12,-45,-17,-1,-53,-45
Washington,2020,13,13,-45,-18,-3,-57,-50
Washington,2020,14,14,-42,-13,26,-54,-51
Washington,2020,15,15,-42,-16,18,-52,-49
Washington,2020,16,16,-39,-14,9,-51,-47
Washington,2020,17,17,-35,-9,23,-47,-45
Washington,2020,18,18,-31,-1,55,-43,-42
Washington,2020,19,19,-32,-5,50,-42,-40
Washington,2020,20,20,-30,-4,54,-41,-39
Washington,2020,21,21,-29,-4,78,-40,-39
Washington,2020,22,22,-25,-1,72,-37,-33
Washington,2020,23,23,-21,-2,68,-34,-32
Washington,2020,24,24,-17,0,92,-31,-32
Washington,2020,25,25,-17,-1,118,-28,-32
Washington,2020,26,26,-17,2,105,-31,-38
Washington,2020,27,27,-16,-1,109,-28,-33
Washington,2020,28,28,-14,1,129,-28,-32
Washington,2020,29,29,-14,0,130,-27,-32
Washington,2020,30,30,-14,1,132,-27,-33
Washington,2020,31,31,-14,0,117,-28,-33
Washington,2020,32,32,-15,-2,118,-28,-33
Washington,2020,33,33,-16,-3,109,-29,-33
Washington,2020,34,34,-15,-4,110,-29,-32
Washington,2020,35,35,-12,-1,114,-27,-32
Washington,2020,36,36,-18,-5,71,-34,-37
Washington,2020,37,37,-17,-6,45,-35,-31
Washington,2020,38,38,-17,-7,36,-37,-29
Washington,2020,39,39,-15,-5,53,-35,-29
Washington,2020,40,40,-19,-7,32,-38,-29
Washington,2020,41,41,-18,-7,37,-36,-29
Washington,2020,42,42,-19,-8,22,-38,-29
Washington,2020,43,43,-18,-7,28,-39,-28
Washington,2020,44,44,-20,-10,14,-42,-28
Washington,2020,45,45,-20,-10,1,-44,-30
Washington,2020,46,46,-27,-11,-1,-46,-30
Washington,2020,47,47,-30,-10,9,-47,-41
Washington,2020,48,48,-24,-9,12,-46,-30
Washington,2020,49,49,-25,-9,2,-48,-30
Washington,2020,50,50,-23,-7,-9,-45,-30
Washington,2020,51,51,-28,-8,2,-47,-43
Washington,2020,52,-28,-11,-5,-48,-42,14
West Virginia,2020,7,7,5,-2,15,2,-1
West Virginia,2020,8,8,9,2,12,5,1
West Virginia,2020,9,9,12,5,18,7,2
West Virginia,2020,10,10,7,11,32,5,-1
West Virginia,2020,11,11,-20,7,17,-9,-19
West Virginia,2020,12,12,-42,-17,8,-31,-36
West Virginia,2020,13,13,-38,-13,11,-34,-39
West Virginia,2020,14,14,-39,-10,2,-36,-41
West Virginia,2020,15,15,-38,-17,-9,-33,-39
West Virginia,2020,16,16,-32,-11,10,-26,-38
West Virginia,2020,17,17,-26,-5,6,-20,-36
West Virginia,2020,18,18,-20,4,19,-16,-33
West Virginia,2020,19,19,-18,2,34,-15,-30
West Virginia,2020,20,20,-13,4,51,-7,-28
West Virginia,2020,21,21,-9,4,67,-6,-29
West Virginia,2020,22,22,-3,8,70,3,-22
West Virginia,2020,23,23,-2,8,85,8,-22
West Virginia,2020,24,24,-4,6,74,9,-22
West Virginia,2020,25,25,-4,5,84,12,-22
West Virginia,2020,26,26,-3,11,116,15,-28
West Virginia,2020,27,27,-5,6,98,19,-24
West Virginia,2020,28,28,-7,6,107,16,-23
West Virginia,2020,29,29,-8,4,96,14,-23
West Virginia,2020,30,30,-7,4,85,9,-24
West Virginia,2020,31,31,-6,5,94,4,-24
West Virginia,2020,32,32,-8,3,90,5,-24
West Virginia,2020,33,33,-8,2,107,5,-22
West Virginia,2020,34,34,-9,-1,71,1,-22
West Virginia,2020,35,35,-3,5,45,8,-22
West Virginia,2020,36,36,-10,-1,70,-1,-27
West Virginia,2020,37,37,-7,-1,81,3,-19
West Virginia,2020,38,38,-8,-1,66,-2,-18
West Virginia,2020,39,39,-7,1,53,-3,-18
West Virginia,2020,40,40,-10,0,54,-2,-18
West Virginia,2020,41,41,-10,-1,59,0,-18
West Virginia,2020,42,42,-10,-2,50,-3,-17
West Virginia,2020,43,43,-11,-3,33,-2,-17
West Virginia,2020,44,44,-10,-2,36,-9,-17
West Virginia,2020,45,45,-13,-4,15,-13,-19
West Virginia,2020,46,46,-15,-4,12,-11,-18
West Virginia,2020,47,47,-23,-7,24,-15,-34
West Virginia,2020,48,48,-16,-5,-2,-18,-20
West Virginia,2020,49,49,-15,-5,1,-18,-19
West Virginia,2020,50,50,-16,-4,-8,-16,-22
West Virginia,2020,51,51,-22,-7,-7,-23,-35
West Virginia,2020,52,-16,-6,-7,-22,-32,11
Wisconsin,2020,7,7,3,2,16,1,1
Wisconsin,2020,8,8,7,4,17,5,3
Wisconsin,2020,9,9,9,6,32,8,3
Wisconsin,2020,10,10,4,13,29,3,1
Wisconsin,2020,11,11,-29,6,14,-19,-21
Wisconsin,2020,12,12,-48,-20,27,-38,-37
Wisconsin,2020,13,13,-46,-18,46,-36,-40
Wisconsin,2020,14,14,-45,-13,56,-35,-42
Wisconsin,2020,15,15,-45,-19,21,-35,-40
Wisconsin,2020,16,16,-39,-14,57,-31,-38
Wisconsin,2020,17,17,-33,-6,91,-24,-36
Wisconsin,2020,18,18,-29,2,94,-21,-34
Wisconsin,2020,19,19,-28,-1,103,-20,-32
Wisconsin,2020,20,20,-20,1,120,-16,-30
Wisconsin,2020,21,21,-12,5,187,-8,-30
Wisconsin,2020,22,22,-8,9,193,-1,-22
Wisconsin,2020,23,23,-6,8,194,0,-22
Wisconsin,2020,24,24,-3,10,226,2,-21
Wisconsin,2020,25,25,-5,8,217,3,-22
Wisconsin,2020,26,26,-4,14,273,0,-30
Wisconsin,2020,27,27,-5,8,220,4,-24
Wisconsin,2020,28,28,-5,9,234,3,-23
Wisconsin,2020,29,29,-5,8,245,4,-23
Wisconsin,2020,30,30,-5,8,235,2,-23
Wisconsin,2020,31,31,-6,8,229,-1,-23
Wisconsin,2020,32,32,-7,6,215,-3,-23
Wisconsin,2020,33,33,-6,5,244,-2,-22
Wisconsin,2020,34,34,-8,4,199,-6,-22
Wisconsin,2020,35,35,-4,6,219,-5,-22
Wisconsin,2020,36,36,-11,0,127,-10,-27
Wisconsin,2020,37,37,-8,2,176,-4,-19
Wisconsin,2020,38,38,-11,1,149,-9,-19
Wisconsin,2020,39,39,-12,2,95,-11,-19
Wisconsin,2020,40,40,-13,1,139,-9,-19
Wisconsin,2020,41,41,-15,-1,81,-12,-20
Wisconsin,2020,42,42,-18,-5,44,-16,-20
Wisconsin,2020,43,43,-16,-3,42,-17,-20
Wisconsin,2020,44,44,-15,-3,89,-18,-20
Wisconsin,2020,45,45,-21,-7,16,-25,-21
Wisconsin,2020,46,46,-20,-5,33,-23,-21
Wisconsin,2020,47,47,-24,-4,29,-26,-35
Wisconsin,2020,48,48,-17,-4,17,-26,-19
Wisconsin,2020,49,49,-18,-4,17,-27,-19
Wisconsin,2020,50,50,-13,1,10,-22,-18
Wisconsin,2020,51,51,-22,-1,10,-28,-36
Wisconsin,2020,52,-19,-6,16,-29,-36,13
Wyoming,2020,7,7,4,4,5,4,-1
Wyoming,2020,8,8,7,8,8,7,3
Wyoming,2020,9,9,9,11,16,3,3
Wyoming,2020,10,10,3,19,5,6,1
Wyoming,2020,11,11,-22,14,7,-6,-20
Wyoming,2020,12,12,-39,-8,3,-15,-32
Wyoming,2020,13,13,-38,-9,8,-15,-34
Wyoming,2020,14,14,-36,-4,25,-17,-35
Wyoming,2020,15,15,-39,-15,-6,-22,-34
Wyoming,2020,16,16,-29,-6,34,-12,-31
Wyoming,2020,17,17,-22,1,65,-5,-30
Wyoming,2020,18,18,-18,6,48,-1,-26
Wyoming,2020,19,19,-14,6,61,3,-24
Wyoming,2020,20,20,-5,10,108,12,-22
Wyoming,2020,21,21,-4,14,145,17,-24
Wyoming,2020,22,22,2,18,163,21,-17
Wyoming,2020,23,23,4,19,185,25,-17
Wyoming,2020,24,24,8,24,214,29,-17
Wyoming,2020,25,25,8,27,279,35,-18
Wyoming,2020,26,26,9,34,305,39,-25
Wyoming,2020,27,27,12,30,310,37,-19
Wyoming,2020,28,28,11,29,305,37,-19
Wyoming,2020,29,29,11,29,321,37,-19
Wyoming,2020,30,30,11,28,313,37,-19
Wyoming,2020,31,31,13,30,318,40,-19
Wyoming,2020,32,32,12,28,318,45,-19
Wyoming,2020,33,33,9,23,289,42,-18
Wyoming,2020,34,34,5,20,286,32,-16
Wyoming,2020,35,35,10,25,NA,38,-19
Wyoming,2020,36,36,1,14,237,19,-23
Wyoming,2020,37,37,4,15,238,31,-15
Wyoming,2020,38,38,-1,12,179,25,-14
Wyoming,2020,39,39,0,12,156,24,-14
Wyoming,2020,40,40,-4,8,137,22,-14
Wyoming,2020,41,41,-8,4,79,17,-16
Wyoming,2020,42,42,-14,-2,34,3,-16
Wyoming,2020,43,43,-11,-2,25,8,-15
Wyoming,2020,44,44,-12,-4,39,3,-15
Wyoming,2020,45,45,-20,-9,-12,-7,-19
Wyoming,2020,46,46,-18,-5,7,-1,-17
Wyoming,2020,47,47,-23,-6,3,-11,-33
Wyoming,2020,48,48,-15,-5,2,-5,-14
Wyoming,2020,49,49,-17,-6,-5,-6,-14
Wyoming,2020,50,50,-13,1,-6,-3,-14
Wyoming,2020,51,51,-21,-4,-3,-17,-35
Wyoming,2020,52,-18,-6,-3,-14,-32,11
